id,popularity,original_title,vote_average,budget_adj,revenue_adj,cast
119450,4.452507,Dawn of the Planet of the Apes,7.4,156585478.631,652316682.156,Andy Serkis
156022,4.145209,The Equalizer,7.2,50660007.7924,177154121.56,Denzel Washington
227159,4.105685,Horrible Bosses 2,6.1,38685824.1324,98230083.939,Jason Bateman
102382,4.101979,The Amazing Spider-Man 2,6.6,184218210.154,650030010.989,Andrew Garfield
137113,3.990452,Edge of Tomorrow,7.7,163954207.037,341302234.843,Tom Cruise
228967,3.989231,The Interview,6.1,40528006.2339,10413095.5199,James Franco
190859,3.863074,American Sniper,7.5,54160153.7854,499514514.092,Bradley Cooper
147441,3.81374,Exodus: Gods and Kings,5.6,128952747.108,246881718.093,Christian Bale
124905,3.689601,Godzilla,6.2,147374568.123,487327232.333,Aaron Taylor-Johnson
102651,3.582315,Maleficent,7.0,165796389.139,698565011.988,Angelina Jolie
254904,3.573028,The November Man,6.0,13816365.7616,29987149.8588,Pierce Brosnan
242512,3.489314,Ouija,4.9,4605455.25386,94439261.8745,Olivia Cooke
82702,3.489106,How to Train Your Dragon 2,7.7,133558202.362,561057788.331,Jay Baruchel
270303,3.393741,It Follows,6.6,1842182.10154,12434729.1854,Maika Monroe
138103,3.34625,The Expendables 3,6.2,82898194.5694,189903685.193,Sylvester Stallone
137106,3.327799,The Lego Movie,7.5,55265463.0463,432139714.775,Will Arnett
68737,3.260581,Seventh Son,5.1,87503649.8233,105168898.624,Jeff Bridges
266856,3.170271,The Theory of Everything,7.8,13816365.7616,111638022.27,Eddie Redmayne
193893,3.14993,Let's Be Cops,6.4,15658547.8631,125840630.063,Jake Johnson
49017,3.028769,Dracula Untold,6.1,64476373.554,198522018.221,Luke Evans
270946,3.007018,Penguins of Madagascar,6.5,121584018.702,344075490.78,Tom McGrath
224141,2.996038,Into the Woods,5.6,46054552.5386,196102469.537,Meryl Streep
53182,2.979181,300: Rise of an Empire,6.1,101320015.585,310941963.895,Sullivan Stapleton
227156,2.881991,The Giver,6.3,23027276.2693,61695098.5982,Jeff Bridges
187017,2.805019,22 Jump Street,7.0,46054552.5386,173571884.248,Jonah Hill
169917,2.777996,A Walk Among the Tombstones,6.2,25790549.4216,48985095.8257,Liam Neeson
116149,2.721864,Paddington,7.1,50660007.7924,238753457.085,Nicole Kidman
284276,2.692691,Cake,6.1,6447637.3554,2174033.70641,Jennifer Aniston
212778,2.67235,Chef,7.2,10132001.5585,42340653.5509,Jon Favreau
238636,2.611251,The Purge: Anarchy,6.6,8289819.45694,100198906.849,Frank Grillo
218043,2.601775,Left Behind,3.8,14737456.8123,18129765.1494,Nicolas Cage
85350,2.595951,Boyhood,7.6,3684364.20309,40849467.0107,Ellar Coltrane
241239,2.576396,A Most Violent Year,6.4,18421821.0154,11059604.723,Oscar Isaac
184315,2.549403,Hercules,5.6,92109105.0771,224193561.758,Dwayne Johnson
86834,2.526779,Noah,5.5,115136381.346,334022131.055,Russell Crowe
205587,2.523101,The Judge,7.2,46054552.5386,77113179.0629,Robert Downey Jr.
232672,2.445165,Blended,6.7,36843642.0309,113749780.09,Drew Barrymore
195589,2.376309,Neighbors,6.2,16579638.9139,246997381.338,Seth Rogen
249164,2.361267,If I Stay,7.2,10132001.5585,72650912.0183,Chloë Grace Moretz
243683,2.303556,Step Up All In,6.7,41449097.2847,79366405.4145,Ryan Guzman
222935,2.293859,The Fault in Our Stars,7.8,11053092.6093,281072099.323,Shailene Woodley
168530,2.165462,Ride Along,6.1,23027276.2693,141846012.919,Ice Cube
171274,2.160156,Inherent Vice,6.3,18421821.0154,10234219.6378,Joaquin Phoenix
137094,2.141491,Jack Ryan: Shadow Recruit,5.9,55265463.0463,46560330.0822,Chris Pine
225574,2.136758,Non-Stop,6.8,46054552.5386,205227928.586,Liam Neeson
206487,2.116264,Predestination,7.2,5066000.77924,2763273.15231,Ethan Hawke
154400,1.957672,The Drop,6.6,11605747.2397,17186067.761,Tom Hardy
97020,1.940735,RoboCop,5.7,110530926.093,220490244.264,Joel Kinnaman
157353,1.904422,Transcendence,5.9,92109105.0771,94908538.4219,Johnny Depp
193610,1.900038,The Other Woman,6.2,36843642.0309,181253395.832,Cameron Diaz
82703,1.894706,Mr. Peabody & Sherman,6.8,133558202.362,251377196.917,Ty Burrell
189,1.840817,Sin City: A Dame to Kill For,6.2,59870918.3001,36298002.4298,Mickey Rourke
172385,1.811692,Rio 2,6.5,94872378.2295,460719091.178,Jesse Eisenberg
100042,1.805954,Dumb and Dumber To,5.5,36843642.0309,156435350.001,Jim Carrey
152760,1.779861,The Monuments Men,5.7,64476373.554,142754407.651,Matt Damon
227306,1.769987,Unbroken,7.2,59870918.3001,150545826.583,Jack O'Connell
273895,1.754707,Selma,7.5,18421821.0154,61517744.3585,David Oyelowo
265177,1.737699,Mommy,8.0,4513346.14878,3218356.60777,Anne Dorval
228970,1.649321,Wild,6.9,13816365.7616,48358699.5668,Reese Witherspoon
76649,1.638781,Pompeii,5.1,119741836.6,108533660.812,Kit Harington
239571,1.63015,The Best of Me,7.2,23948367.3201,33091313.2824,Michelle Monaghan
196867,1.58801,Annie,6.1,59870918.3001,123262077.116,Quvenzhané Wallis
228326,1.545055,The Book of Life,7.3,46054552.5386,89748446.3497,Diego Luna
239563,1.542392,St. Vincent,7.1,11974183.66,50510085.4865,Bill Murray
136797,1.541069,Need for Speed,6.2,60792009.3509,187237211.342,Aaron Paul
228194,1.449046,The Hundred-Foot Journey,7.2,20264003.117,81867328.8083,Helen Mirren
170687,1.440084,The Boxtrolls,6.6,55265463.0463,99713420.9414,Ben Kingsley
87093,1.398713,Big Eyes,6.8,9210910.50771,26604343.497,Amy Adams
241254,1.394382,The Prince,4.6,16579638.9139,245550715.734,Bruce Willis
242095,1.319416,The Signal,5.8,3684364.20309,553479.928044,Brenton Thwaites
216282,1.3155,Into the Storm,5.7,46054552.5386,147929243.628,Richard Armitage
218836,1.240895,Planes: Fire & Rescue,5.9,46054552.5386,139237453.589,Dane Cook
144336,1.214094,Sabotage,5.4,32238186.777,16126939.2421,Arnold Schwarzenegger
136835,1.146492,No Good Deed,5.8,12158401.8702,49582713.5158,Idris Elba
284293,1.142614,Still Alice,7.5,4605455.25386,38499379.6452,Julianne Moore
256274,1.140302,"As Above, So Below",6.1,4605455.25386,36935751.1359,Perdita Weeks
87492,1.136851,Foxcatcher,6.5,22106185.2185,11141793.6774,Steve Carell
226857,1.077877,Endless Love,6.6,18421821.0154,31388867.1409,Alex Pettyfer
157845,1.052381,The Rover,6.0,11283365.372,2114293.58303,Guy Pearce
184098,1.041267,Think Like a Man Too,6.2,22106185.2185,64643485.2612,Kevin Hart
271674,1.039133,Suite Française,6.9,13816365.7616,8386272.42742,Michelle Williams
187596,1.027357,Walk of Shame,5.7,13816365.7616,54536.8800251,Elizabeth Banks
250546,1.018115,Annabelle,5.6,5987091.83001,235130424.651,Annabelle Wallis
100241,0.989916,"I, Frankenstein",5.1,59870918.3001,65539857.9125,Aaron Eckhart
225565,0.988081,That Awkward Moment,6.0,7368728.40617,23993576.311,Zac Efron
200505,0.98174,Draft Day,6.5,24869458.3708,26556109.643,Kevin Costner
254473,0.979655,Brick Mansions,5.8,25790549.4216,63460252.6184,Paul Walker
242224,0.967846,The Babadook,6.5,1842182.10154,6149637.68884,Essie Davis
226486,0.966048,Tammy,5.1,18421821.0154,92593075.7901,Melissa McCarthy
137321,0.92537,Winter's Tale,5.9,55265463.0463,28369817.1358,Colin Farrell
241848,0.916435,The Guest,6.6,4605455.25386,2180370.81284,Dan Stevens
256917,0.893121,The Water Diviner,6.8,20724548.6424,14295354.2931,Russell Crowe
171424,0.890965,The Green Inferno,4.8,4605455.25386,6294225.03544,Lorenza Izzo
218778,0.876514,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.2,25790549.4216,92711635.8669,Steve Carell
239678,0.876066,This Is Where I Leave You,6.5,18237602.8053,38037670.7818,Jason Bateman
264656,0.870104,The Homesman,6.2,14737456.8123,2238241.12137,Hilary Swank
230179,0.805839,Big Game,5.2,7829273.93156,6908182.88079,Samuel L. Jackson
209451,0.797723,Jersey Boys,6.7,36843642.0309,62032730.9705,Christopher Walken
222899,0.796721,About Last Night,5.8,11513638.1346,45135933.6962,Kevin Hart
198185,0.786398,Million Dollar Arm,6.6,23027276.2693,35284812.406,Jon Hamm
231576,0.778247,Wish I Was Here,6.3,5066000.77924,5050617.6376,Zach Braff
244539,0.777096,Infinitely Polar Bear,7.0,6171310.04017,1317763.51724,Mark Ruffalo
97370,0.757089,Under the Skin,6.0,12250510.9753,4955701.047,Scarlett Johansson
177494,0.751773,Veronica Mars,6.3,5526546.30463,3210119.2905,Kristen Bell
235260,0.740796,Son of God,5.8,20264003.117,62450032.1921,Roma Downey
242042,0.728025,Barefoot,6.5,5526546.30463,13881.7632262,Evan Rachel Wood
217993,0.72546,Justice League: War,7.0,3223818.6777,4748523.72132,Michelle Monaghan
157834,0.722877,The Zero Theorem,5.7,7829273.93156,709890.399376,Christoph Waltz
232679,0.714661,When the Game Stands Tall,6.2,13816365.7616,27750597.0973,Jim Caviezel
177047,0.688179,Decoding Annie Parker,5.2,1842182.10154,44571.5959468,Samantha Morton
193612,0.667732,The Quiet Ones,5.1,184218.210154,16427536.3854,Jared Harris
157849,0.660405,A Most Wanted Man,6.3,13816365.7616,29064894.5489,Philip Seymour Hoffman
282813,0.646337,The Pyramid,4.7,5987091.83001,12771328.0936,Ashley Hinshaw
246860,0.635214,Clouds of Sils Maria,6.8,6079200.93509,1431375.4929,Juliette Binoche
245916,0.632048,Kill the Messenger,6.5,4605455.25386,2257452.31742,Jeremy Renner
254191,0.615729,Honeymoon,5.3,921091.050771,8582.72641109,Rose Leslie
210479,0.602735,Locke,6.8,1842182.10154,4269533.34764,Tom Hardy
227735,0.599079,Dolphin Tale 2,6.8,33159277.8278,48287768.1872,Morgan Freeman
288158,0.590257,The Woman in Black 2: Angel of Death,4.9,921091.050771,24410131.4489,Helen McCrory
145220,0.574398,Muppets Most Wanted,6.2,46054552.5386,74040166.0175,Ricky Gervais
246403,0.559472,Tusk,4.9,2579054.94216,1682561.6279,Michael Parks
286521,0.548656,5 Flights Up,5.9,5526546.30463,940361.196645,Morgan Freeman
236751,0.540852,Heaven is for Real,6.1,11053092.6093,93336884.4464,Greg Kinnear
188207,0.49584,The Legend of Hercules,4.4,64476373.554,56443954.8334,Kellan Lutz
253235,0.485296,And So It Goes,5.7,27632731.5231,23315013.1394,Michael Douglas
244566,0.470651,Life After Beth,4.8,2210618.52185,81307.4703247,Aubrey Plaza
230266,0.446458,Miss Julie,5.4,5066000.77924,4605455.25386,Jessica Chastain
244783,0.407983,Song One,5.7,5526546.30463,29706.1074784,Anne Hathaway
252171,0.403579,A Girl Walks Home Alone at Night,7.0,921091.050771,363830.965055,Sheila Vand
210947,0.401153,Afflicted,6.1,292906.954145,111616.892441,Baya Rehaz
241771,0.398601,Beyond the Lights,6.9,6447637.3554,13465178.6134,Minnie Driver
252680,0.386307,Moms' Night Out,5.7,4605455.25386,9606709.77987,Sarah Drew
238603,0.382434,Earth to Echo,5.7,11974183.66,41725424.5999,Teo Halm
284536,0.350612,The Gambler,5.6,23027276.2693,36080177.2916,Mark Wahlberg
209185,0.34162,The Grand Seduction,6.7,11697856.3448,3159358.88379,Brendan Gleeson
157847,0.340308,Joe,6.5,3684364.20309,2178810.4846,Nicolas Cage
270654,0.318941,Parts Per Billion,4.8,460545.525386,13816365.7616,Josh Hartnett
157099,0.317225,Better Living Through Chemistry,5.9,4605455.25386,69213.5448281,Olivia Wilde
249660,0.300442,God's Not Dead,6.1,15658547.8631,27438381.3114,Kevin Sorbo
79316,0.283225,Devil's Due,4.5,6447637.3554,33559008.3165,Allison Miller
282296,0.751476,My Old Lady,6.0,4605455.25386,3697062.36431,Maggie Smith
251321,0.19104,Aloft,5.1,7368728.40617,48897.0395213,Jennifer Connelly
262340,0.151591,Mrs. Brown's Boys D'Movie,5.2,5434437.19955,21185094.1677,Brendan O'Carroll
11,12.037933,Star Wars,7.9,39575591.3583,2789712242.28,Mark Hamill
691,2.379469,The Spy Who Loved Me,6.2,50368934.456,667167740.424,Roger Moore
11319,1.719385,The Rescuers,6.6,4317337.23908,256219102.706,Bob Newhart
703,1.179653,Annie Hall,7.6,14391124.1303,137620251.334,Woody Allen
840,1.104816,Close Encounters of the Third Kind,7.0,71955620.6514,1092964988.91,Richard Dreyfuss
5902,1.048838,A Bridge Too Far,6.4,79151182.7165,182587387.403,Dirk Bogarde
