id,popularity,original_title,release_year,budget_adj,revenue_adj,production_company
82695,1.608797,Les Misérables,2012,57934401.1625,419606302.503,Universal Pictures
76493,1.291798,The Dictator,2012,61733378.2879,170364685.658,Paramount Pictures
77866,1.252392,Contraband,2012,23743607.0338,59928864.1533,Universal Pictures
72207,1.095479,The Five-Year Engagement,2012,28492328.4406,51200477.7214,Universal Pictures
59961,1.01404,Safe House,2012,80728263.9149,197619185.784,Universal Pictures
87502,0.974459,Flight,2012,29442072.7219,153642388.037,Paramount Pictures
78698,0.953111,Big Miracle,2012,37989771.2541,23476933.0858,Universal Pictures
72358,0.736973,A Thousand Words,2012,37989771.2541,20936426.0173,Paramount Pictures
82679,0.615971,Fun Size,2012,13296419.9389,10843574.2676,Paramount Pictures
82687,0.595211,The Guilt Trip,2012,37989771.2541,39759834.3646,Paramount Pictures
82990,0.557661,Paranormal Activity 4,2012,4748721.40676,135640571.176,Paramount Pictures
101267,0.050524,Katy Perry: Part of Me,2012,11396931.3762,31082239.3071,Paramount Pictures
310,2.899533,Bruce Almighty,2003,94828211.5826,574389691.557,Universal Pictures
8273,2.182292,American Wedding,2003,65194395.463,274348924.909,Universal Pictures
9654,1.798132,The Italian Job,2003,71121158.687,208705242.862,Paramount Pictures
9486,1.661911,Johnny English,2003,47414105.7913,190347505.093,Universal Pictures
10028,1.635524,Honey,2003,21336347.6061,74258506.2091,Universal Pictures
1584,1.622704,The School of Rock,2003,41487342.5674,155616590.812,Paramount Pictures
1996,1.569435,Lara Croft Tomb Raider: The Cradle of Life,2003,112608501.254,185514075.589,Paramount Pictures
8619,1.491266,Master and Commander: The Far Side of the World,2003,177802896.717,251307931.147,Universal Pictures
9341,1.412067,The Core,2003,71121158.687,87962965.5532,Paramount Pictures
1927,1.387163,Hulk,2003,162393312.335,290838693.893,Universal Pictures
9919,1.209598,How to Lose a Guy in 10 Days,2003,59267632.2391,210247706.698,Paramount Pictures
9562,1.047214,Timeline,2003,94828211.5826,23091545.496,Paramount Pictures
9620,1.024891,Paycheck,2003,71121158.687,114113676.267,Paramount Pictures
4464,0.62007,Seabiscuit,2003,103125680.096,175830997.398,Universal Pictures
11615,0.431188,The Life of David Gale,2003,59267632.2391,46176121.1184,Universal Pictures
2662,0.407552,House of 1000 Corpses,2003,8297468.51348,19948945.6762,Universal Pictures
22309,0.346215,The Fighting Temptations,2003,17780289.6717,35843377.2214,Paramount Pictures
597,4.355219,Titanic,1997,271692064.214,2506405735.42,Paramount Pictures
8413,1.949225,Event Horizon,1997,81507619.2643,36234540.8914,Paramount Pictures
754,1.330225,Face/Off,1997,108676825.686,333741296.175,Paramount Pictures
9619,1.176223,Dante's Peak,1997,157581397.244,241979494.041,Universal Pictures
11975,1.008461,The Rainmaker,1997,54338412.8429,62376108.7583,Paramount Pictures
4824,0.981422,The Jackal,1997,81507619.2643,216443863.325,Universal Pictures
10003,0.938611,The Saint,1997,92375301.8329,160384313.859,Paramount Pictures
2163,0.835336,Breakdown,1997,48904571.5586,68139206.8629,Paramount Pictures
9437,0.712173,Kiss the Girls,1997,36678428.6689,82224713.7894,Paramount Pictures
11015,0.636839,The Relic,1997,81507619.2643,46128704.6062,Paramount Pictures
10371,0.362661,For Richer or Poorer,1997,47546111.2375,42942594.863,Universal Pictures
9403,0.325869,Private Parts,1997,38036888.99,56010404.4476,Paramount Pictures
330,0.21055,The Lost World: Jurassic Park,1997,99167603.4383,311188651.422,Universal Pictures
10871,0.206863,Switchback,1997,50263031.8797,8805804.70095,Paramount Pictures
106646,4.877927,The Wolf of Wall Street,2013,93603335.274,366925723.881,Paramount Pictures
75612,4.405923,Oblivion,2013,112324002.329,267863327.898,Universal Pictures
93456,3.928789,Despicable Me 2,2013,71138534.8083,908665501.929,Universal Pictures
54138,3.877342,Star Trek Into Darkness,2013,177846337.021,437469458.168,Paramount Pictures
158015,2.811403,The Purge,2013,2808100.05822,83614574.2265,Universal Pictures
72190,2.604638,World War Z,2013,187206670.548,497843379.155,Paramount Pictures
72559,2.109247,G.I. Joe: Retaliation,2013,121684335.856,348088599.301,Paramount Pictures
60304,1.92107,Hansel & Gretel: Witch Hunters,2013,46801667.637,210423550.412,Paramount Pictures
193756,1.821423,Lone Survivor,2013,37441334.1096,139745661.953,Universal Pictures
49524,1.689869,R.I.P.D.,2013,121684335.856,57705052.1464,Universal Pictures
208134,1.291008,Jackass Presents: Bad Grandpa,2013,14040500.2911,142119382.63,Paramount Pictures
59859,1.251506,Kick-Ass 2,2013,26208933.8767,27144967.2295,Universal Pictures
109443,1.108437,Anchorman 2: The Legend Continues,2013,46801667.637,162541269.711,Paramount Pictures
134374,1.07557,Pain & Gain,2013,23400833.8185,80662946.5581,Paramount Pictures
132232,1.054366,Mama,2013,14040500.2911,137126799.758,Universal Pictures
76544,0.707968,Man of Tai Chi,2013,23400833.8185,1923493.31391,Universal Pictures
82992,0.522347,Fast & Furious 6,2013,149765336.438,738230644.234,Universal Pictures
105,6.095293,Back to the Future,1985,38516154.9931,772572771.714,Universal Pictures
2108,2.834739,The Breakfast Club,1985,2027166.05227,104450077.488,Universal Pictures
606,1.168819,Out of Africa,1985,62842147.6203,260489226.119,Universal Pictures
9281,0.873551,Witness,1985,24325992.6272,139280483.763,Paramount Pictures
15196,0.688022,Clue: The Movie,1985,30407490.784,29685813.5879,Paramount Pictures
9731,0.662175,Friday the 13th: A New Beginning,1985,4459765.31499,44456598.8816,Paramount Pictures
11064,0.384037,Brewster's Millions,1985,40543321.0453,92911369.2594,Universal Pictures
9872,0.150168,Explorers,1985,50679151.3067,20014299.6293,Paramount Pictures
11338,0.132713,Into the Night,1985,231.096929958,13582012.5502,Universal Pictures
8202,2.220063,Æon Flux,2005,69226923.9586,58400727.4187,Paramount Pictures
74,1.844731,War of the Worlds,2005,147386354.234,660714467.634,Paramount Pictures
6957,1.78595,The 40 Year Old Virgin,2005,29030645.531,122207000.115,Universal Pictures
11283,1.610259,Nanny McPhee,2005,27914082.2414,136767638.602,Universal Pictures
4348,1.480854,Pride & Prejudice,2005,31263772.1103,135269350.237,Universal Pictures
25,1.148377,Jarhead,2005,80392556.8551,108183814.901,Universal Pictures
16320,1.110148,Serenity,2005,43545968.2965,43400216.5909,Universal Pictures
9621,1.08379,Elizabethtown,2005,63644107.5103,58100246.8386,Paramount Pictures
8292,1.075427,Four Brothers,2005,50245348.0345,103142169.882,Paramount Pictures
179,0.906223,The Interpreter,2005,89325063.1724,181938319.257,Universal Pictures
9913,0.824869,The Skeleton Key,2005,48012221.4551,102695705.351,Universal Pictures
7214,0.775677,Coach Carter,2005,33496898.6896,85606690.8045,Paramount Pictures
9910,0.726858,Two for the Money,2005,39079715.1379,34084779.3107,Universal Pictures
6963,0.707056,The Weather Man,2005,22331265.7931,13937808.318,Paramount Pictures
11683,0.694404,Land of the Dead,2005,16748449.3448,52222337.2282,Universal Pictures
10060,0.664688,Get Rich or Die Tryin',2005,44662531.5862,51856021.8436,Paramount Pictures
9981,0.663861,Kicking & Screaming,2005,50245348.0345,62606187.1228,Universal Pictures
9291,0.636922,The Longest Yard,2005,91558189.7517,212504959.495,Paramount Pictures
6961,0.600522,The Wedding Date,2005,16748449.3448,52673915.6189,Universal Pictures
7364,0.571693,Sahara,2005,145153227.655,133171929.644,Paramount Pictures
10092,0.466529,Cry_Wolf,2005,1116563.28965,11218863.9348,Universal Pictures
11804,0.463596,White Noise,2005,11165632.8965,101826573.603,Universal Pictures
13499,0.405822,"Yours, Mine & Ours",2005,50245348.0345,80424660.2828,Paramount Pictures
13341,0.242227,Bad News Bears,2005,33496898.6896,38245471.5264,Paramount Pictures
956,3.098051,Mission: Impossible III,2006,162250373.744,430342087.606,Paramount Pictures
9693,2.108369,Children of Men,2006,82206856.0302,75673304.9785,Universal Pictures
9767,1.76935,The Break-Up,2006,56246796.2312,221741837.806,Universal Pictures
6877,1.223177,Failure to Launch,2006,54083457.9146,95960487.0583,Paramount Pictures
1247,1.18228,The Good Shepherd,2006,91941878.4548,64801247.078,Universal Pictures
82,1.114239,Miami Vice,2006,146025336.369,177171468.683,Universal Pictures
7516,1.027989,Smokin' Aces,2006,18388375.691,61767522.0398,Universal Pictures
9353,0.840205,Nacho Libre,2006,34613413.0653,86747695.585,Paramount Pictures
9676,0.838431,The Black Dahlia,2006,54083457.9146,53122072.53,Universal Pictures
9310,0.793804,American Dreamz,2006,18388375.691,7911357.42881,Universal Pictures
1819,0.780687,"You, Me and Dupree",2006,58410134.5477,141083588.039,Universal Pictures
1852,0.711674,World Trade Center,2006,68145156.9724,176253548.01,Paramount Pictures
9788,0.692543,Accepted,2006,24878390.6407,41649680.675,Universal Pictures
9907,0.674705,Barnyard,2006,55165127.0729,78722799.6713,Paramount Pictures
1125,0.6477,Dreamgirls,2006,75716841.0804,167591309.913,Paramount Pictures
12094,0.638444,Jackass Number Two,2006,11898360.7412,78722488.1506,Paramount Pictures
4723,0.631574,Southland Tales,2006,18388375.691,405347.945386,Universal Pictures
9615,0.62873,The Fast and the Furious: Tokyo Drift,2006,91941878.4548,171410264.024,Universal Pictures
9986,0.536631,Charlotte's Web,2006,91941878.4548,155.760358794,Paramount Pictures
17379,0.4819,Last Holiday,2006,48675112.1231,41536053.4933,Paramount Pictures
9829,0.463155,United 93,2006,16225037.3744,82516317.2497,Universal Pictures
9895,0.360145,Man of the Year,2006,21633383.1658,44605492.0021,Universal Pictures
9809,0.249949,Let's Go to Prison,2006,4326676.63317,5008176.878,Universal Pictures
2502,3.196643,The Bourne Supremacy,2004,86583404.9859,333057748.36,Universal Pictures
10625,2.629934,Mean Girls,2004,19625571.7968,148972948.805,Paramount Pictures
7131,2.499507,Van Helsing,2004,184711263.97,346630860.773,Universal Pictures
1538,1.83193,Collateral,2004,75038950.9878,251396983.988,Paramount Pictures
747,1.823597,Shaun of the Dead,2004,4617781.59925,34678837.9076,Universal Pictures
11774,1.665648,Lemony Snicket's A Series of Unfortunate Events,2004,161622355.974,241364107.692,Paramount Pictures
5137,1.590381,Sky Captain and the World of Tomorrow,2004,80811177.9869,66910149.9763,Paramount Pictures
11836,1.556897,The SpongeBob SquarePants Movie,2004,34633361.9944,161809136.004,Paramount Pictures
5966,1.23067,Along Came Polly,2004,48486706.7921,198522339.904,Universal Pictures
2789,1.052176,The Chronicles of Riddick,2004,121216766.98,133653299.036,Universal Pictures
14462,0.927088,The Manchurian Candidate,2004,92355631.985,110949088.034,Paramount Pictures
8849,0.898601,Alfie,2004,69266723.9887,15464880.1547,Paramount Pictures
9890,0.8676,The Stepford Wives,2004,103900085.983,117753430.781,Paramount Pictures
13572,0.76787,Twisted,2004,57722269.9906,29086251.8483,Paramount Pictures
3989,0.73712,Team America: World Police,2004,36942252.794,58769839.1442,Paramount Pictures
10762,0.696312,Without a Paddle,2004,21934462.5964,80385323.8589,Paramount Pictures
1677,0.648721,Ray,2004,46177815.9925,143995745.638,Universal Pictures
11823,0.614248,Wimbledon,2004,35787807.3942,47923345.5181,Universal Pictures
8080,0.308525,Suspect Zero,2004,31170025.7949,15007790.1976,Paramount Pictures
15673,0.283606,Connie and Carla,2004,23088907.9962,13092583.7504,Universal Pictures
8842,0.250878,Against the Ropes,2004,45023370.5927,7635825.11907,Paramount Pictures
238,5.738034,The Godfather,1972,31287365.5882,1277913732.39,Paramount Pictures
573,0.599109,Frenzy,1972,18250963.2598,65703467.7352,Universal Pictures
813,1.636256,Airplane!,1980,9261128.63522,220821131.355,Paramount Pictures
525,1.607219,The Blues Brothers,1980,71442992.3289,304902523.975,Universal Pictures
4488,1.24642,Friday the 13th,1980,1455320.21411,158112870.402,Paramount Pictures
2768,0.283507,American Gigolo,1980,12700976.414,60180597.3005,Paramount Pictures
23954,0.248142,Atlantic City,1980,19051464.621,33683195.8409,Paramount Pictures
15668,0.130304,Xanadu,1980,52920735.0584,59460666.2668,Universal Pictures
2503,2.755051,The Bourne Ultimatum,2007,73616800.7842,465704233.565,Universal Pictures
2270,2.489611,Stardust,2007,73616800.7842,142564220.405,Paramount Pictures
7485,2.082325,Shooter,2007,64151783.5405,100641524.145,Paramount Pictures
4347,2.066397,Atonement,2007,31550057.4789,135945055.154,Universal Pictures
4964,1.640237,Knocked Up,2007,31550057.4789,230395891.173,Universal Pictures
1949,1.464555,Zodiac,2007,68358457.8711,89166682.0035,Paramount Pictures
6538,1.3747,Charlie Wilson's War,2007,78875143.6974,125148992.517,Universal Pictures
4349,1.352489,The Kingdom,2007,73616800.7842,91136082.8648,Universal Pictures
8271,1.180341,Disturbia,2007,21033371.6526,123844633.214,Paramount Pictures
3563,1.09781,I Now Pronounce You Chuck & Larry,2007,89391829.5237,195686301.564,Universal Pictures
1738,1.068126,Next,2007,73616800.7842,19151950.23,Paramount Pictures
2310,0.969354,Beowulf,2007,73616800.7842,205849271.283,Paramount Pictures
1858,0.890557,Transformers,2007,157750287.395,746379478.412,Paramount Pictures
4517,0.756472,Elizabeth: The Golden Age,2007,26291714.5658,78073312.6582,Universal Pictures
14397,0.324065,Whisper,2007,12620022.9916,5558275.63792,Universal Pictures
